date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.4,8.69,2.02,1.8,3.07,1.664,323
2019-12-10T00:00:00.000Z,2.1,7.57,3.46,2.97,5.22,1.26,407
2019-12-11T00:00:00.000Z,2.22,12.15,4.04,2.85,5.78,1.778,420
2019-12-12T00:00:00.000Z,6.52,18.23,11.55,9.42,14.7,2.996,492
2019-12-13T00:00:00.000Z,9.85,21.9,15.25,13.78,16.34,2.229,563
2019-12-14T00:00:00.000Z,1.05,14.43,3.97,2.45,9.8,4.472,401
2019-12-15T00:00:00.000Z,1.13,5.5,2.34,1.95,2.65,0.601,574
2019-12-16T00:00:00.000Z,1.62,6.8,2.57,2.15,3.22,0.766,294
2019-12-17T00:00:00.000Z,4.23,14.34,7.45,5.96,10.83,2.847,289
2019-12-18T00:00:00.000Z,0.75,25.36,2.91,1.71,4.3,4.906,468
2019-12-19T00:00:00.000Z,4.78,43.37,15.69,9.41,28.94,9.884,554
2019-12-20T00:00:00.000Z,6.98,35.97,20.2,13.68,25.27,7.301,588
2019-12-21T00:00:00.000Z,2.18,29.07,10.68,7.05,12.77,5.604,574
2019-12-22T00:00:00.000Z,11.06,21.05,14.91,13.57,15.84,1.607,588
2019-12-23T00:00:00.000Z,2.7,14.97,6.56,4.55,9.42,3.319,582
2019-12-24T00:00:00.000Z,2.1,11.95,3.94,3.2,5.53,2.358,589
2019-12-25T00:00:00.000Z,2.64,13.11,6.68,5.16,7.69,1.988,584
2019-12-26T00:00:00.000Z,1.65,51.96,4.84,3.35,6.27,3.921,586
2019-12-27T00:00:00.000Z,1.12,9.66,2.68,2.27,4.01,1.623,586
2019-12-28T00:00:00.000Z,0.9,7.45,2.04,1.45,3.25,1.199,585
2019-12-29T00:00:00.000Z,3.1,23.42,5.8,4.19,7.28,3.545,589
2019-12-30T00:00:00.000Z,2.7,8.15,4.19,3.7,5.01,1.173,582
2019-12-31T00:00:00.000Z,2.02,116.5,5.88,4.08,10.62,14.873,577
2020-01-01T00:00:00.000Z,3.43,72.48,13.79,9.83,15.76,14.818,585
2020-01-02T00:00:00.000Z,4.4,19.64,10.82,6.22,12.72,3.617,571
2020-01-03T00:00:00.000Z,1.68,11.43,6.94,5.65,9,2.235,554
2020-01-04T00:00:00.000Z,0.78,5.88,3.37,2.92,3.72,0.822,557
2020-01-05T00:00:00.000Z,2.4,28.12,3.61,3.1,4.83,1.907,566
2020-01-06T00:00:00.000Z,5.18,12.92,9.25,7.59,11.36,2.017,525
2020-01-07T00:00:00.000Z,8.44,22.94,14.21,10.5,15.89,3.195,516
2020-01-08T00:00:00.000Z,4.05,11.98,5.89,5.14,7.18,1.513,508
2020-01-09T00:00:00.000Z,3.67,20.62,12.14,7.56,16.02,4.647,541
2020-01-10T00:00:00.000Z,1.55,17.8,3.45,2.64,6.66,5.145,429
2020-01-11T00:00:00.000Z,1.52,6.1,2.86,2.27,3.64,1.05,526
2020-01-12T00:00:00.000Z,3.12,8.5,6.3,5.33,6.98,1.181,564
2020-01-13T00:00:00.000Z,1.82,10.14,5.93,3.57,7.6,2.232,486
2020-01-14T00:00:00.000Z,2.04,12.63,3.44,2.6,9.92,3.598,441
2020-01-15T00:00:00.000Z,1.78,7,2.75,2.23,4.48,1.192,462
2020-01-16T00:00:00.000Z,1.2,16.55,3.18,2.04,6.08,3.968,474
2020-01-17T00:00:00.000Z,4.88,22.14,16.73,11.79,18.26,4.366,464
2020-01-18T00:00:00.000Z,1.88,17.67,4.45,3.12,7.04,4.059,503
2020-01-19T00:00:00.000Z,2.9,12.77,8.69,5.43,9.77,2.545,470
2020-01-20T00:00:00.000Z,3.18,13.2,7.12,6.08,9.02,2.296,362
2020-01-21T00:00:00.000Z,3.28,14.95,6.43,5.75,7.7,2.509,449
2020-01-22T00:00:00.000Z,14.73,21.1,16.11,15.43,18.69,1.852,18
2020-01-23T00:00:00.000Z,4.88,17.39,12.25,9.13,15.69,3.478,85
2020-01-24T00:00:00.000Z,14.95,26.95,19.88,18.62,22.15,2.338,270
2020-01-25T00:00:00.000Z,7.6,21.38,13.28,12.13,14.93,2.404,296
2020-01-26T00:00:00.000Z,7.28,24.22,15.28,13.34,18.69,3.475,311
2020-01-27T00:00:00.000Z,5.32,26.05,17.78,9.27,21.06,6.379,249
2020-01-28T00:00:00.000Z,0.7,11.22,3.1,2.24,5.04,2.616,277
2020-01-29T00:00:00.000Z,1.52,4.9,2.88,2.35,3.42,0.625,310
2020-01-30T00:00:00.000Z,1.95,7.08,3.25,2.76,3.65,0.676,293
2020-01-31T00:00:00.000Z,1.72,8.91,3.2,2.66,4.72,1.812,284
2020-02-01T00:00:00.000Z,1.12,5.98,2.12,1.44,3.32,1.11,330
2020-02-02T00:00:00.000Z,1.9,11.03,3.35,2.79,4.76,1.523,328
2020-02-03T00:00:00.000Z,2.27,11.42,4.43,3.68,5.48,1.407,314
2020-02-04T00:00:00.000Z,1.1,5.95,2.96,1.94,3.45,0.941,259
2020-02-05T00:00:00.000Z,0.48,5.7,1.25,0.98,2.31,0.836,231
2020-02-06T00:00:00.000Z,2.47,12.37,4.44,3.73,5.44,1.944,239
2020-02-07T00:00:00.000Z,2.37,14.24,10.9,6.71,12.51,3.286,209
2020-02-08T00:00:00.000Z,4.47,22.45,10.54,6.68,16.42,4.855,197
2020-02-09T00:00:00.000Z,1.5,11.13,6.29,2.43,9.27,3.386,358
2020-02-10T00:00:00.000Z,0.6,3.46,1.6,1.2,2.33,0.657,365
2020-02-11T00:00:00.000Z,0.2,2.96,1.8,1.2,2.06,0.539,365
2020-02-12T00:00:00.000Z,1.25,3.19,1.98,1.8,2.22,0.311,381
2020-02-13T00:00:00.000Z,1.54,9.96,2.77,2.21,3.61,1.226,380
2020-02-14T00:00:00.000Z,6.02,26.3,14.6,10.65,18.3,4.965,386
2020-02-15T00:00:00.000Z,2.54,28.42,12.02,4.08,15.26,6.869,331
2020-02-16T00:00:00.000Z,0.4,4.23,1.85,1.7,2.06,0.61,376
2020-02-17T00:00:00.000Z,0.38,6.44,1.5,0.78,1.78,0.691,341
2020-02-18T00:00:00.000Z,1.12,3.38,1.98,1.56,2.29,0.464,309
2020-02-19T00:00:00.000Z,1.24,6.3,2.31,2.02,3.03,0.819,454
2020-02-20T00:00:00.000Z,1.6,13.68,3.79,3.16,5.33,2.467,500
2020-02-21T00:00:00.000Z,0.65,5.34,2.8,2.25,3.43,0.926,421
2020-02-22T00:00:00.000Z,1.36,4.22,2.08,1.83,2.42,0.408,419
2020-02-23T00:00:00.000Z,0.76,9.02,1.98,1.46,2.79,1.981,444
2020-02-24T00:00:00.000Z,1.53,7.6,2.74,2.42,3.3,1.278,511
2020-02-25T00:00:00.000Z,1.33,6.17,2.5,2.13,3.18,1.084,457
2020-02-26T00:00:00.000Z,1.56,10.37,5.86,4,7.13,2.215,402
2020-02-27T00:00:00.000Z,2.63,11.78,4.72,4.09,6.14,1.316,543
2020-02-28T00:00:00.000Z,1.34,8.94,4.65,2.98,5.3,1.615,541
2020-02-29T00:00:00.000Z,1.44,9.11,3.98,3.25,4.96,1.329,571
2020-03-01T00:00:00.000Z,0.94,3.47,1.55,1.32,2.22,0.572,578
2020-03-02T00:00:00.000Z,1.22,8.75,3.54,2.27,5.84,1.902,473
2020-03-03T00:00:00.000Z,2,10.73,5.59,3.11,8.81,2.783,416
2020-03-04T00:00:00.000Z,2.98,15.85,7.95,5.61,9.73,3.128,587
2020-03-05T00:00:00.000Z,1.65,18.52,7.6,3.91,14.49,5.075,588
2020-03-06T00:00:00.000Z,7.4,33.26,11.02,9.5,14.14,4.53,589
2020-03-07T00:00:00.000Z,8.16,20.85,13.43,11.54,16.45,2.962,592
2020-03-08T00:00:00.000Z,4.28,21.02,8.68,7.48,12,3.797,591
2020-03-09T00:00:00.000Z,3.45,13.12,6.48,5.23,8.69,2.347,582
2020-03-10T00:00:00.000Z,1.38,10.07,3.76,2.54,5.86,2.064,584
2020-03-11T00:00:00.000Z,1.35,8.59,2.38,2.08,3.25,1.162,581
2020-03-12T00:00:00.000Z,0.85,12.6,1.68,1.3,2.8,2.789,499
2020-03-13T00:00:00.000Z,0.82,4.63,1.83,1.5,2.18,0.891,513
2020-03-14T00:00:00.000Z,1.34,17.18,2.96,2.06,4.18,1.911,542
2020-03-15T00:00:00.000Z,1.73,6.04,3.05,2.45,4.36,1.196,292
2020-03-16T00:00:00.000Z,1.92,11.85,4.82,4.12,5.56,1.753,587
2020-03-17T00:00:00.000Z,2.9,14.06,7.7,5.68,10.7,2.955,583
2020-03-18T00:00:00.000Z,2.42,29.65,8.41,4.8,15.32,8.243,506
2020-03-19T00:00:00.000Z,2.4,13.24,9.02,6,11.08,3.013,557
2020-03-20T00:00:00.000Z,1.05,8.86,4.33,3.65,4.91,1.311,477
2020-03-21T00:00:00.000Z,1.1,89,1.88,1.43,2.6,6.228,489
2020-03-22T00:00:00.000Z,1.05,5.87,1.9,1.48,2.6,0.758,468
2020-03-23T00:00:00.000Z,1.65,8.48,3.3,2.43,3.82,0.903,449
2020-03-24T00:00:00.000Z,3.26,15.28,5.28,4.51,6.36,1.276,457
2020-03-25T00:00:00.000Z,5.24,45.74,7.38,6.54,8.3,2.661,439
2020-03-26T00:00:00.000Z,7.63,16.7,10.43,9,11.52,1.553,438
2020-03-27T00:00:00.000Z,11.53,20.96,16.37,14.24,17.73,2.192,377
2020-03-28T00:00:00.000Z,11.82,22.24,15.52,13.08,19.45,3.211,178
2020-03-29T00:00:00.000Z,0.75,15.47,1.47,1.3,6.51,4.336,361
