date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.1,44.32,2.04,1.68,4.11,4.054,314
2019-12-10T00:00:00.000Z,2.56,25.18,4.3,3.61,7.45,2.542,407
2019-12-11T00:00:00.000Z,3.08,13.98,4.8,4.05,5.98,1.678,431
2019-12-12T00:00:00.000Z,8.68,30.75,15.6,12.07,22.15,5.74,500
2019-12-13T00:00:00.000Z,16.3,44.4,22.07,19.23,26.33,4.461,563
2019-12-14T00:00:00.000Z,1.08,20.55,6.01,2.47,16.1,6.922,405
2019-12-15T00:00:00.000Z,0.72,5.2,1.87,1.56,2.49,0.721,577
2019-12-16T00:00:00.000Z,1.81,23.16,2.72,2.34,3.46,2.194,287
2019-12-17T00:00:00.000Z,4.97,20.42,8.19,7.36,9.86,4.487,292
2019-12-18T00:00:00.000Z,0.8,20.48,3.74,1.84,6.02,3.346,470
2019-12-19T00:00:00.000Z,4.51,58.56,19.92,11.57,39.69,14.917,560
2019-12-20T00:00:00.000Z,6.01,62.45,22.13,16.73,26.64,10.359,582
2019-12-21T00:00:00.000Z,2.08,34.35,9.94,6.88,16.88,8.355,576
2019-12-22T00:00:00.000Z,10.19,39.67,18.14,16.09,20.44,3.469,584
2019-12-23T00:00:00.000Z,3.92,31.6,11.95,7.4,15.14,4.521,585
2019-12-24T00:00:00.000Z,2.54,17.73,4.99,4.09,7.18,3.285,592
2019-12-25T00:00:00.000Z,3.76,20.92,8.5,6.52,9.85,2.874,584
2019-12-26T00:00:00.000Z,1.6,21.72,6.21,4.4,8.57,3.081,579
2019-12-27T00:00:00.000Z,0.8,14.34,3.52,2.56,5.68,2.595,583
2019-12-28T00:00:00.000Z,1.04,8.72,2.34,1.66,4.82,2,584
2019-12-29T00:00:00.000Z,5.04,27.34,8.86,6.54,10.43,2.399,588
2019-12-30T00:00:00.000Z,2.99,19.02,4.75,3.79,6.99,2.223,583
2019-12-31T00:00:00.000Z,2.86,207.38,8.64,4.94,16.79,29.303,576
2020-01-01T00:00:00.000Z,4.95,165.08,20.17,15.63,25.25,24.526,584
2020-01-02T00:00:00.000Z,5.03,25.15,15.25,8.22,18.52,5.48,574
2020-01-03T00:00:00.000Z,1.39,18.26,9.11,7.9,13.35,3.714,550
2020-01-04T00:00:00.000Z,0.92,16.48,4.3,3.53,4.97,1.741,558
2020-01-05T00:00:00.000Z,3,14.7,4.97,4.18,6.62,1.875,566
2020-01-06T00:00:00.000Z,7.82,19.73,13.14,10.72,16.77,3.308,531
2020-01-07T00:00:00.000Z,12.32,36.54,21.25,18.14,25.7,5.693,517
2020-01-08T00:00:00.000Z,4.34,19.97,6.41,5.36,9.82,3.185,505
2020-01-09T00:00:00.000Z,4.53,28.3,18.22,9.07,24.08,7.585,526
2020-01-10T00:00:00.000Z,1.52,24.9,3.71,2.38,10.86,8.042,425
2020-01-11T00:00:00.000Z,1.41,11.93,3.09,2.25,4.63,1.682,532
2020-01-12T00:00:00.000Z,4.21,11.14,8.07,6.6,9.65,1.8,560
2020-01-13T00:00:00.000Z,2.52,30.03,7.82,4.8,10.22,3.468,487
2020-01-14T00:00:00.000Z,2.44,19.25,4.07,3.05,13.9,5.707,437
2020-01-15T00:00:00.000Z,2.04,12.38,2.85,2.54,5.56,1.847,462
2020-01-16T00:00:00.000Z,1.55,17.1,4.38,2.71,5.92,3.961,479
2020-01-17T00:00:00.000Z,6.45,81.88,22.14,15.51,24.74,7.749,468
2020-01-18T00:00:00.000Z,2.1,23.72,5.27,3.74,9.61,6.505,502
2020-01-19T00:00:00.000Z,3.49,17.45,9.31,5.97,13.22,3.841,478
2020-01-20T00:00:00.000Z,3.84,22.57,10.8,9.11,13.26,4.588,365
2020-01-21T00:00:00.000Z,4.12,23.51,9.53,8.49,12.07,4.385,453
2020-01-22T00:00:00.000Z,23.91,31.02,25.66,24.34,27.3,1.887,20
2020-01-23T00:00:00.000Z,6.12,26.99,15.08,8.98,19.94,6.128,86
2020-01-24T00:00:00.000Z,23.27,57.65,31.11,28.85,35.09,4.242,272
2020-01-25T00:00:00.000Z,11.62,46.91,22.05,19.66,26.11,4.751,299
2020-01-26T00:00:00.000Z,12.35,38.14,24.52,20.88,27.71,4.873,313
2020-01-27T00:00:00.000Z,6.57,34.33,26.87,13.54,29.45,9.01,256
2020-01-28T00:00:00.000Z,0.7,16.5,4.18,2.59,11.96,5.04,273
2020-01-29T00:00:00.000Z,1.28,13.74,4.13,3.01,5.12,1.343,308
2020-01-30T00:00:00.000Z,2.35,8.57,4.38,3.18,5.28,1.351,290
2020-01-31T00:00:00.000Z,2.21,8.35,4.19,3.56,5.46,1.388,288
2020-02-01T00:00:00.000Z,0.9,10.34,1.55,1.14,2.59,1.148,328
2020-02-02T00:00:00.000Z,1.76,16.39,3.82,3.35,6.52,2.379,336
2020-02-03T00:00:00.000Z,1.92,18.73,5.89,4.63,8.38,2.784,319
2020-02-04T00:00:00.000Z,1.13,13.64,3.6,2.18,4.23,1.584,264
2020-02-05T00:00:00.000Z,0.5,18.44,1.14,0.95,2.8,1.678,245
2020-02-06T00:00:00.000Z,3.35,18.05,6.22,5.25,7.7,2.73,239
2020-02-07T00:00:00.000Z,1.9,39.44,15.8,6.84,17.95,6.441,217
2020-02-08T00:00:00.000Z,5.81,24.83,14.58,8.71,20.36,5.655,201
2020-02-09T00:00:00.000Z,1.58,17.03,9.16,3.39,12.31,4.808,368
2020-02-10T00:00:00.000Z,0.6,4.4,1.62,1.23,2.29,0.84,380
2020-02-11T00:00:00.000Z,0.4,5.24,2,1.33,2.36,0.697,374
2020-02-12T00:00:00.000Z,1.68,8.26,2.44,2.22,2.65,0.575,378
2020-02-13T00:00:00.000Z,1.75,8.5,3.26,2.56,4.53,1.168,375
2020-02-14T00:00:00.000Z,5.62,42.68,23.46,17.21,26.9,7.144,377
2020-02-15T00:00:00.000Z,2.82,46.68,17.07,5.54,23.5,9.258,324
2020-02-16T00:00:00.000Z,0.28,50.94,1.98,1.67,2.5,2.637,384
2020-02-17T00:00:00.000Z,0.2,3.76,1.35,0.73,1.54,0.57,349
2020-02-18T00:00:00.000Z,1.2,9.51,2.04,1.61,2.35,0.762,307
2020-02-19T00:00:00.000Z,0.9,36.04,2.74,2.25,3.71,2.449,455
2020-02-20T00:00:00.000Z,1.62,16.18,4.9,3.88,7.68,3.55,495
2020-02-21T00:00:00.000Z,0.86,7.7,3.21,2.68,3.61,0.859,448
2020-02-22T00:00:00.000Z,1.08,4.63,2.14,1.72,2.62,0.612,466
2020-02-23T00:00:00.000Z,0.65,29.02,2.16,1.44,2.94,2.434,445
2020-02-24T00:00:00.000Z,1.33,10.72,3.53,2.88,4.47,1.919,532
2020-02-25T00:00:00.000Z,1.15,11.52,2.72,2.29,3.67,1.723,473
2020-02-26T00:00:00.000Z,2.85,18.07,9.16,5.5,12.24,3.819,420
2020-02-27T00:00:00.000Z,3.42,82.86,6.93,5.45,8.8,5.116,565
2020-02-28T00:00:00.000Z,1.42,24.44,5.6,3.49,8.74,3.686,569
2020-02-29T00:00:00.000Z,0.98,32.29,5.45,3.9,6.38,2.301,583
2020-03-01T00:00:00.000Z,0.55,8.53,1.27,1.11,2,0.875,582
2020-03-02T00:00:00.000Z,1.01,12.38,4.08,2.39,6.91,2.973,515
2020-03-03T00:00:00.000Z,2.08,39.24,7.24,3.39,12.12,4.929,437
2020-03-04T00:00:00.000Z,3.35,36.64,11.38,6.98,15.61,5.63,584
2020-03-05T00:00:00.000Z,1.88,37.85,10.5,3.95,18.38,7.354,588
2020-03-06T00:00:00.000Z,9.11,61.45,15.71,14.32,20.71,7.898,589
2020-03-07T00:00:00.000Z,11.02,63.51,19.92,16.3,24.55,5.735,589
2020-03-08T00:00:00.000Z,4.53,22.36,11.1,9.32,16.8,4.56,589
