date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.15,12.46,2.18,1.76,4.43,2.797,323
2019-12-10T00:00:00.000Z,2.65,9.08,3.99,3.27,5.76,1.505,409
2019-12-11T00:00:00.000Z,2.48,7.53,4,3.34,5.55,1.156,426
2019-12-12T00:00:00.000Z,6.35,35.11,16.07,12.8,19.57,5.507,489
2019-12-13T00:00:00.000Z,9.82,43.78,16.05,12.38,19.2,5.454,557
2019-12-14T00:00:00.000Z,1.1,23.52,6.14,2.75,15.25,6.552,398
2019-12-15T00:00:00.000Z,0.97,65.31,2.38,1.99,2.9,6.123,572
2019-12-16T00:00:00.000Z,1.68,15.28,2.7,2.22,3.03,1.43,285
2019-12-17T00:00:00.000Z,3.34,16.72,5.62,5.03,6.36,3.741,288
2019-12-18T00:00:00.000Z,0.84,23.16,2.78,1.65,4.01,3.755,462
2019-12-19T00:00:00.000Z,8.19,43.45,21.56,16.73,28.84,8.637,551
2019-12-20T00:00:00.000Z,7.83,38.61,23.65,15.93,33.79,9.369,574
2019-12-21T00:00:00.000Z,2,38.7,12.56,5.57,21.96,9.888,552
2019-12-22T00:00:00.000Z,11.92,37.38,17.8,15.85,20.1,2.884,563
2019-12-23T00:00:00.000Z,2.34,25.22,8.57,4.18,12.52,4.472,562
2019-12-24T00:00:00.000Z,2.54,19.78,5.16,3.79,7.44,3.813,577
2019-12-25T00:00:00.000Z,3.06,19.22,8.98,6.64,11.11,3.363,580
2019-12-26T00:00:00.000Z,3.62,23.16,7.67,6.44,9.44,2.277,584
2019-12-27T00:00:00.000Z,1.54,23.3,3.32,2.57,11.32,6.17,563
2019-12-28T00:00:00.000Z,1.05,6.76,1.97,1.54,3.5,1.267,575
2019-12-29T00:00:00.000Z,3.54,11.48,5.98,4.59,7.85,1.703,585
2019-12-30T00:00:00.000Z,2.15,8.46,3.42,3.04,5.38,1.656,574
2019-12-31T00:00:00.000Z,2.04,139.68,5.62,3.85,9.08,20.421,557
2020-01-01T00:00:00.000Z,16.23,117.19,35.79,23.83,49.39,18.18,69
2020-01-03T00:00:00.000Z,2.33,23.45,7.52,5.58,16.47,5.944,379
2020-01-04T00:00:00.000Z,1.57,7.93,4.09,3.23,4.96,1.343,553
2020-01-05T00:00:00.000Z,2.84,9.4,3.96,3.54,4.78,0.953,556
2020-01-06T00:00:00.000Z,5.16,28.55,10.24,7.66,11.89,2.586,528
2020-01-07T00:00:00.000Z,10.94,39.03,18.6,16.62,20.62,3.961,515
2020-01-08T00:00:00.000Z,3.75,15.3,5.46,4.62,7.77,2.282,492
2020-01-09T00:00:00.000Z,4.58,42.08,20.63,13.12,29.93,10.289,523
2020-01-10T00:00:00.000Z,1.5,44.92,3.3,2.25,19.34,14.556,425
2020-01-11T00:00:00.000Z,1.32,8.88,2.4,1.94,3.55,1.38,507
2020-01-12T00:00:00.000Z,3.28,10.9,7.04,5.12,8.72,2.054,545
2020-01-13T00:00:00.000Z,2.6,14.47,5.82,3.7,9.11,3.274,480
2020-01-14T00:00:00.000Z,2,15.4,4.05,2.64,12.97,4.902,439
2020-01-15T00:00:00.000Z,1.82,22.77,2.65,2.35,4.59,1.668,459
2020-01-16T00:00:00.000Z,1.3,38.11,2.93,1.9,7.55,6.686,474
2020-01-17T00:00:00.000Z,8.14,43.2,20,15.15,26.44,7.006,463
2020-01-18T00:00:00.000Z,1.66,54.02,4.72,3.6,7.5,5.693,498
2020-01-19T00:00:00.000Z,3.52,27.35,7.34,5.75,10.74,2.986,465
2020-01-20T00:00:00.000Z,3.1,60.15,8.53,6,12.46,6.181,347
2020-01-21T00:00:00.000Z,4.36,18.62,8.85,6.72,11.52,3.487,459
2020-01-22T00:00:00.000Z,16.82,22.93,19.95,17.75,21.28,1.894,16
2020-01-23T00:00:00.000Z,4.37,22.82,13.07,7.42,18.11,5.518,85
2020-01-24T00:00:00.000Z,18.67,38.95,26.08,24.28,30.08,4.208,267
2020-01-25T00:00:00.000Z,8.07,48.7,17.47,16.04,19.95,3.945,299
2020-01-26T00:00:00.000Z,10.09,27.25,17.59,16.07,21.94,3.918,308
2020-01-27T00:00:00.000Z,5.55,31.1,20.16,11.03,27.17,8.429,260
2020-01-28T00:00:00.000Z,0.9,21.08,4.93,3.88,6.67,3.028,273
2020-01-29T00:00:00.000Z,1.48,9.74,3.33,2.5,4.96,2.088,312
2020-01-30T00:00:00.000Z,1.66,7.48,4.11,2.7,5.08,1.35,294
2020-01-31T00:00:00.000Z,2.04,9.23,3.36,2.92,4.8,1.322,286
2020-02-01T00:00:00.000Z,0.86,9.66,1.72,1.18,2.56,1.393,322
2020-02-02T00:00:00.000Z,2.56,11.8,3.51,3.2,5.5,2.349,325
2020-02-03T00:00:00.000Z,3.12,16.02,6.6,5.38,11.16,3.243,315
2020-02-04T00:00:00.000Z,1.2,4.8,3.23,2.25,3.65,0.861,260
2020-02-05T00:00:00.000Z,0.65,3.05,1.3,1.01,2.37,0.694,244
2020-02-06T00:00:00.000Z,2.25,14.38,5.31,4.44,6.32,2.399,238
2020-02-07T00:00:00.000Z,5.47,47.02,13.18,10.65,16.73,4.38,216
2020-02-08T00:00:00.000Z,4.98,33.1,10.65,6.63,23.71,8.532,196
2020-02-09T00:00:00.000Z,1.62,13.53,7.08,2.74,10.11,3.912,356
2020-02-10T00:00:00.000Z,0.8,6.96,1.86,1.48,2.76,1.307,366
2020-02-11T00:00:00.000Z,0.7,6.07,2,1.6,2.29,0.579,361
2020-02-12T00:00:00.000Z,1.48,5.23,2.29,2.1,2.49,0.363,363
2020-02-13T00:00:00.000Z,1.65,18.67,3.34,2.67,4.22,1.915,373
2020-02-14T00:00:00.000Z,9.32,76.15,21.41,18.07,24.92,6.848,386
2020-02-15T00:00:00.000Z,2.6,33.28,12.18,4.8,24.8,10.217,326
2020-02-16T00:00:00.000Z,0.35,4.01,1.96,1.72,2.38,0.647,378
2020-02-17T00:00:00.000Z,0.4,2.95,1.34,0.9,1.46,0.451,341
2020-02-18T00:00:00.000Z,0.95,3.28,1.84,1.5,2.04,0.355,310
2020-02-19T00:00:00.000Z,1.05,11.96,2.44,2,3.86,1.574,450
2020-02-20T00:00:00.000Z,1.66,14.76,4.29,3.55,6.24,2.724,494
2020-02-21T00:00:00.000Z,1.12,22.18,2.95,2.63,3.26,1.964,427
2020-02-22T00:00:00.000Z,1.3,3.85,2.02,1.7,2.48,0.526,453
2020-02-23T00:00:00.000Z,0.75,22.92,2.1,1.6,3.2,2.471,443
2020-02-24T00:00:00.000Z,1.85,11.3,3.06,2.69,3.68,2.265,526
2020-02-25T00:00:00.000Z,0.95,13.12,2.97,2.18,4.84,2.353,467
2020-02-26T00:00:00.000Z,2.67,17.76,10.34,5.77,12.75,4.045,406
2020-02-27T00:00:00.000Z,2.85,27.2,5.72,4.05,7.36,2.544,544
2020-02-28T00:00:00.000Z,1.36,36.29,4.7,2.45,7.17,3.145,560
2020-02-29T00:00:00.000Z,1.05,13.58,5.15,3.48,6.14,2.294,566
2020-03-01T00:00:00.000Z,0.77,7.64,1.4,1.21,2,0.74,566
2020-03-02T00:00:00.000Z,0.99,9.32,4.55,3.35,6.82,2.152,492
2020-03-03T00:00:00.000Z,1.95,19.97,6.08,3.54,9.11,3.041,419
2020-03-04T00:00:00.000Z,3.68,32.15,8.36,5.19,12.54,4.792,573
2020-03-05T00:00:00.000Z,2.04,28.82,7.06,3.58,16.94,7.977,567
2020-03-06T00:00:00.000Z,7.55,47.45,18.23,14.46,23.11,7.897,565
2020-03-07T00:00:00.000Z,10.08,32.6,18.2,14.56,22.62,5.379,575
2020-03-08T00:00:00.000Z,3.9,18.02,8.64,7.33,12.65,3.75,573
2020-03-09T00:00:00.000Z,2.85,19.73,6.27,4.84,8.36,3.783,570
2020-03-10T00:00:00.000Z,1.85,31.85,5.14,3.32,9.8,6,576
2020-03-11T00:00:00.000Z,1.5,11.06,2.49,2.1,4.26,1.77,575
2020-03-12T00:00:00.000Z,0.75,17.75,1.45,1.25,2.27,4.253,518
2020-03-13T00:00:00.000Z,0.85,8.26,1.9,1.48,2.25,1.07,520
2020-03-14T00:00:00.000Z,1.62,34.32,3.63,2.38,4.55,2.689,546
2020-03-15T00:00:00.000Z,2.12,6.83,3.98,2.83,5.18,1.183,287
2020-03-16T00:00:00.000Z,1.95,7.45,4.57,3.06,5.45,1.397,575
2020-03-17T00:00:00.000Z,2.04,45.9,7.85,5.15,11.05,3.996,571
2020-03-18T00:00:00.000Z,2.9,48.63,8.4,5.03,21.44,12.851,481
2020-03-19T00:00:00.000Z,2.9,37.52,9.11,6.15,10.47,3.264,559
2020-03-20T00:00:00.000Z,0.84,16.93,5.05,3.95,6.69,2.246,481
2020-03-21T00:00:00.000Z,1.03,9.77,1.74,1.4,2.85,1.941,493
2020-03-22T00:00:00.000Z,1.1,5.54,1.77,1.4,2.73,0.948,488
2020-03-23T00:00:00.000Z,2,6.5,3.72,2.58,4.47,1.037,478
