date,min,max,pm25,q1,q3,stdev,count
2020-05-05T00:00:00.000Z,0.82,2.46,1.65,1.32,1.96,0.387,127
2020-05-06T00:00:00.000Z,0.9,4.78,1.88,1.49,2.17,0.694,376
2020-05-07T00:00:00.000Z,2.58,23.02,5.78,4.71,6.54,3.251,285
2020-05-08T00:00:00.000Z,2.85,19.89,7.91,5.3,13.48,4.838,254
2020-05-09T00:00:00.000Z,1.14,26.92,5.45,2.2,9.66,4.584,258
2020-05-10T00:00:00.000Z,4.5,19.44,6.48,6.09,6.89,1.83,159
2020-05-11T00:00:00.000Z,1.3,19.92,2.46,2.04,3.11,4.488,221
2020-05-12T00:00:00.000Z,0.88,5.45,2,1.62,2.27,0.548,306
2020-05-13T00:00:00.000Z,1.78,7.18,3.36,2.71,3.84,0.913,308
2020-05-14T00:00:00.000Z,0.9,5.9,2.16,1.67,3.05,1.184,305
2020-05-15T00:00:00.000Z,0.96,7.5,2.15,1.82,3.19,1.111,336
2020-05-16T00:00:00.000Z,0.85,6.9,1.94,1.59,2.54,1.01,225
2020-05-17T00:00:00.000Z,0.7,6.93,1.48,1.14,2.81,1.396,353
2020-05-18T00:00:00.000Z,1.14,9.82,2.29,1.94,3.07,1.346,313
2020-05-19T00:00:00.000Z,1,10.22,3.23,1.85,6.03,2.435,344
2020-05-20T00:00:00.000Z,0.68,14.85,2.04,1.35,2.79,1.335,352
2020-05-21T00:00:00.000Z,0.95,6.4,2.72,1.78,3.56,1.078,322
2020-05-22T00:00:00.000Z,1.25,4.9,2.06,1.64,2.54,0.597,371
2020-05-23T00:00:00.000Z,1.8,18.95,4.47,3.35,8.22,3.995,325
2020-05-24T00:00:00.000Z,1.37,10.57,3.05,2.47,4.32,1.508,337
2020-05-25T00:00:00.000Z,1.2,7.47,4.2,2.9,5.25,1.436,334
2020-05-26T00:00:00.000Z,0.93,13.27,3.3,1.83,7.57,3.488,314
2020-05-27T00:00:00.000Z,1.23,12.05,3.1,2.2,4.82,1.613,326
2020-05-28T00:00:00.000Z,0.95,6.35,1.9,1.45,2.85,0.918,338
2020-05-29T00:00:00.000Z,0.8,10,1.9,1.45,2.35,0.786,335
2020-05-30T00:00:00.000Z,0.6,5.62,1.3,1.02,1.6,0.65,349
2020-05-31T00:00:00.000Z,0.95,5.12,1.51,1.3,1.77,0.528,318
2020-06-01T00:00:00.000Z,0.73,5.87,1.5,1.17,1.99,0.692,305
2020-06-02T00:00:00.000Z,0.73,6.75,1.33,1.1,1.76,0.755,333
2020-06-03T00:00:00.000Z,0.9,8.02,2,1.59,2.6,0.84,289
2020-06-04T00:00:00.000Z,1.35,22.83,2.95,2.2,5.96,5.104,329
2020-06-05T00:00:00.000Z,0.77,27.65,2.08,1.3,11.17,7.466,277
2020-06-06T00:00:00.000Z,0.6,5.87,1.35,1,2.42,0.963,301
2020-06-07T00:00:00.000Z,0.7,6.8,2.02,1.3,2.7,0.932,335
2020-06-08T00:00:00.000Z,0.8,7.93,1.77,1.42,2.5,1.037,324
2020-06-09T00:00:00.000Z,0.9,14.4,2,1.5,2.65,1.342,312
2020-06-10T00:00:00.000Z,0.9,10.45,2.87,1.73,4.5,2.209,335
2020-06-11T00:00:00.000Z,6.77,43.92,24.77,18.02,32.38,8.619,347
2020-06-12T00:00:00.000Z,5.5,27.65,12.55,8.77,20.44,6.162,353
2020-06-13T00:00:00.000Z,5.37,29.75,16.62,12.02,19.1,4.867,337
2020-06-14T00:00:00.000Z,2.15,23.05,5.6,3.28,15.9,6.693,247
2020-06-15T00:00:00.000Z,1.2,10.5,2.45,1.9,3.5,1.105,348
2020-06-16T00:00:00.000Z,1.6,18.17,2.9,2.22,4.34,1.722,351
2020-06-17T00:00:00.000Z,1.65,14.48,3.2,2.4,4.88,2.229,341
2020-06-18T00:00:00.000Z,2.78,12.95,5.09,4.22,6.69,2.169,305
2020-06-19T00:00:00.000Z,3.97,22.75,7.1,5.6,10.73,3.293,299
2020-06-20T00:00:00.000Z,1.1,17.1,3.92,2.47,7,3.377,356
2020-06-21T00:00:00.000Z,1.48,7.15,3.1,2.36,4.55,1.322,353
2020-06-22T00:00:00.000Z,1,6.68,2.41,1.58,3.99,1.5,336
2020-06-23T00:00:00.000Z,0.9,7.43,1.9,1.5,2.4,0.722,348
2020-06-24T00:00:00.000Z,1.65,8.3,2.87,2.4,3.47,0.847,358
2020-06-25T00:00:00.000Z,2.29,15.38,4.95,3.86,8.14,2.943,348
2020-06-26T00:00:00.000Z,5.28,28.12,10.7,8.52,17.8,6.14,351
2020-06-27T00:00:00.000Z,2.29,22.35,6.4,4.19,11.84,5.659,332
2020-06-28T00:00:00.000Z,1.6,12.05,3.85,2.92,6.57,2.47,299
2020-06-29T00:00:00.000Z,0.7,17.14,1.9,1.34,2.62,1.391,316
2020-06-30T00:00:00.000Z,0.77,3.3,1.45,1.2,1.92,0.511,314
2020-07-01T00:00:00.000Z,0.9,24.45,1.82,1.55,3.12,1.807,306
2020-07-02T00:00:00.000Z,1.7,12.18,3.45,2.83,5.8,2.53,304
2020-07-03T00:00:00.000Z,1.1,7.15,2.58,2,4.47,1.599,313
